"","Class","n"
"1","Benzene and substituted derivatives",181
"2","Fatty Acyls",29
"3","Organic phosphoric acids and derivatives",18
"4","Phenols",17
"5","Saturated hydrocarbons",14
"6","Naphthalenes",12
"7","Organic thiophosphoric acids and derivatives",12
"8","Alkyl halides",10
"9","Carboxylic acids and derivatives",10
"10","Phenol ethers",10
"11","Prenol lipids",10
"12","Organonitrogen compounds",9
"13","Organooxygen compounds",9
"14","Phenanthrenes and derivatives",7
"15","Thiocarbonyl compounds",7
"16","Isoindoles and derivatives",6
"17","Triazines",6
"18","Diazines",5
"19","Pyridines and derivatives",5
"20","Azobenzenes",4
"21","Azoles",4
"22","Benzodioxoles",4
"23","Pyrenes",4
"24","Benzofurans",3
"25","Coumarans",3
"26","Anthracenes",2
"27","Azolidines",2
"28","Diazanaphthalenes",2
"29","Fluorenes",2
"30","Organic dithiophosphoric acids and derivatives",2
"31","Organic sulfonic acids and derivatives",2
"32","Organochlorides",2
"33","Pyrans",2
"34","Thioethers",2
"35","Vinyl halides",2
"36","Acenaphthylenes",1
"37","Azepanes",1
"38","Benzo-1,2,3-triazines",1
"39","Benzodioxins",1
"40","Carboximidic acids and derivatives",1
"41","Cinnamaldehydes",1
"42","Cinnamic acids and derivatives",1
"43","Cinnamyl alcohols",1
"44","Dihydrofurans",1
"45","Imidazopyrimidines",1
"46","Indoles and derivatives",1
"47","Linear 1,3-diarylpropanoids",1
"48","Organic carbonic acids and derivatives",1
"49","Organic oxoanionic compounds",1
"50","Organic phosphonic acids and derivatives",1
"51","Oxanes",1
"52","Oxazinanes",1
"53","Piperidines",1
"54","Pyrroles",1
"55","Pyrrolidines",1
"56","Quinolines and derivatives",1
"57","Sulfonyls",1
"58","Thiophenes",1
"59",NA,1
