"","Graph_Class","n"
"1","Insecticides and Pesticides†",80
"2","Herbicides",58
"3","Chemical Synthesis Intermediates",49
"4","Dye intermediates",37
"5","Flavoring or Fragrance Agents",31
"6","Plasticizers and Plastic Additives‡",27
"7","Solvents",23
"8","Combustion Byproducts",22
"9","Fungicides",20
"10","Flame Retardants",17
"11","Preservatives",14
"12","PCBs",13
"13","Lubricants",8
"14","Carcinogenic Research Chemicals",6
"15","PFAS",6
"16","Organic UV Filters",5
"17","Other",5
"18","Wood Preservatives§",5
"19","Pharmacologic Agents",4
"20","Surfactants or Dertegents",4
"21","Explosive Intermediates",3
"22","Personal Use Products (Emollients)",3
"23","Plant Growth Regulators",3
